Year,Parameter,Distance,date
2018,LOS,2000,151
2018,LOS,2000,167
2018,LOS,2000,229
2018,LOS,2000,241
2018,LOS,2000,241
2018,LOS,2000,241
2018,LOS,2000,242
2018,LOS,2000,244
2018,LOS,2000,246
2018,LOS,2000,247
2018,LOS,2000,248
2018,LOS,2000,248
2018,LOS,2000,248
2018,LOS,2000,249
2018,LOS,2000,249
2018,LOS,2000,249
2018,LOS,2000,250
2018,LOS,2000,250
2018,LOS,2000,250
2018,LOS,2000,252
2018,LOS,2000,253
2018,LOS,2000,253
2018,LOS,2000,254
2018,LOS,2000,254
2018,LOS,2000,255
2018,LOS,2000,256
2018,LOS,2000,256
2018,LOS,2000,257
2018,LOS,2000,257
2018,LOS,2000,257
2018,LOS,2000,257
2018,LOS,2000,257
2018,LOS,2000,258
2018,LOS,2000,258
2018,LOS,2000,258
2018,LOS,2000,258
2018,LOS,2000,259
2018,LOS,2000,259
2018,LOS,2000,259
2018,LOS,2000,259
2018,LOS,2000,259
2018,LOS,2000,259
2018,LOS,2000,260
2018,LOS,2000,261
2018,LOS,2000,263
2018,LOS,2000,263
2018,LOS,2000,265
2018,LOS,2000,266
2018,LOS,2000,268
2018,LOS,2000,270
2018,LOS,2000,274
2018,LOS,2000,278
2018,LOS,2000,284
2018,LOS,4000,147
2018,LOS,4000,149
2018,LOS,4000,151
2018,LOS,4000,156
2018,LOS,4000,157
2018,LOS,4000,172
2018,LOS,4000,173
2018,LOS,4000,174
2018,LOS,4000,178
2018,LOS,4000,182
2018,LOS,4000,187
2018,LOS,4000,203
2018,LOS,4000,224
2018,LOS,4000,227
2018,LOS,4000,230
2018,LOS,4000,234
2018,LOS,4000,236
2018,LOS,4000,236
2018,LOS,4000,238
2018,LOS,4000,239
2018,LOS,4000,242
2018,LOS,4000,243
2018,LOS,4000,243
2018,LOS,4000,244
2018,LOS,4000,244
2018,LOS,4000,244
2018,LOS,4000,244
2018,LOS,4000,245
2018,LOS,4000,247
2018,LOS,4000,247
2018,LOS,4000,247
2018,LOS,4000,247
2018,LOS,4000,247
2018,LOS,4000,248
2018,LOS,4000,248
2018,LOS,4000,249
2018,LOS,4000,249
2018,LOS,4000,249
2018,LOS,4000,249
2018,LOS,4000,250
2018,LOS,4000,250
2018,LOS,4000,250
2018,LOS,4000,250
2018,LOS,4000,250
2018,LOS,4000,250
2018,LOS,4000,251
2018,LOS,4000,252
2018,LOS,4000,252
2018,LOS,4000,253
2018,LOS,4000,253
2018,LOS,4000,253
2018,LOS,4000,253
2018,LOS,4000,254
2018,LOS,4000,254
2018,LOS,4000,254
2018,LOS,4000,254
2018,LOS,4000,255
2018,LOS,4000,255
2018,LOS,4000,255
2018,LOS,4000,255
2018,LOS,4000,255
2018,LOS,4000,256
2018,LOS,4000,256
2018,LOS,4000,256
2018,LOS,4000,256
2018,LOS,4000,256
2018,LOS,4000,256
2018,LOS,4000,257
2018,LOS,4000,258
2018,LOS,4000,258
2018,LOS,4000,258
2018,LOS,4000,258
2018,LOS,4000,258
2018,LOS,4000,259
2018,LOS,4000,259
2018,LOS,4000,259
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,260
2018,LOS,4000,261
2018,LOS,4000,261
2018,LOS,4000,262
2018,LOS,4000,262
2018,LOS,4000,262
2018,LOS,4000,263
2018,LOS,4000,263
2018,LOS,4000,263
2018,LOS,4000,263
2018,LOS,4000,263
2018,LOS,4000,264
