Year,Parameter,Distance,date
2012,SOS,2000,8
2012,SOS,2000,19
2012,SOS,2000,19
2012,SOS,2000,23
2012,SOS,2000,23
2012,SOS,2000,23
2012,SOS,2000,24
2012,SOS,2000,27
2012,SOS,2000,27
2012,SOS,2000,28
2012,SOS,2000,29
2012,SOS,2000,29
2012,SOS,2000,31
2012,SOS,2000,31
2012,SOS,2000,31
2012,SOS,2000,31
2012,SOS,2000,32
2012,SOS,2000,33
2012,SOS,2000,34
2012,SOS,2000,34
2012,SOS,2000,35
2012,SOS,2000,35
2012,SOS,2000,36
2012,SOS,2000,36
2012,SOS,2000,36
2012,SOS,2000,37
2012,SOS,2000,37
2012,SOS,2000,39
2012,SOS,2000,39
2012,SOS,2000,40
2012,SOS,2000,41
2012,SOS,2000,41
2012,SOS,2000,42
2012,SOS,2000,43
2012,SOS,2000,43
2012,SOS,2000,43
2012,SOS,2000,44
2012,SOS,2000,46
2012,SOS,2000,46
2012,SOS,2000,47
2012,SOS,2000,47
2012,SOS,2000,48
2012,SOS,2000,50
2012,SOS,2000,51
2012,SOS,2000,52
2012,SOS,2000,52
2012,SOS,2000,53
2012,SOS,2000,55
2012,SOS,2000,56
2012,SOS,2000,56
2012,SOS,2000,57
2012,SOS,2000,57
2012,SOS,4000,10
2012,SOS,4000,18
2012,SOS,4000,20
2012,SOS,4000,20
2012,SOS,4000,24
2012,SOS,4000,25
2012,SOS,4000,25
2012,SOS,4000,25
2012,SOS,4000,26
2012,SOS,4000,27
2012,SOS,4000,28
2012,SOS,4000,28
2012,SOS,4000,28
2012,SOS,4000,29
2012,SOS,4000,29
2012,SOS,4000,30
2012,SOS,4000,31
2012,SOS,4000,32
2012,SOS,4000,32
2012,SOS,4000,32
2012,SOS,4000,32
2012,SOS,4000,32
2012,SOS,4000,33
2012,SOS,4000,33
2012,SOS,4000,33
2012,SOS,4000,33
2012,SOS,4000,33
2012,SOS,4000,34
2012,SOS,4000,34
2012,SOS,4000,34
2012,SOS,4000,34
2012,SOS,4000,35
2012,SOS,4000,37
2012,SOS,4000,37
2012,SOS,4000,38
2012,SOS,4000,38
2012,SOS,4000,39
2012,SOS,4000,40
2012,SOS,4000,40
2012,SOS,4000,40
2012,SOS,4000,40
2012,SOS,4000,41
2012,SOS,4000,41
2012,SOS,4000,42
2012,SOS,4000,42
2012,SOS,4000,44
2012,SOS,4000,44
2012,SOS,4000,45
2012,SOS,4000,45
2012,SOS,4000,45
2012,SOS,4000,46
2012,SOS,4000,46
2012,SOS,4000,47
