Year,Parameter,Distance,date
2017,LOS,6000,288
2017,LOS,6000,288
2017,LOS,6000,288
2017,LOS,6000,289
2017,LOS,6000,290
2017,LOS,6000,290
2017,LOS,6000,291
2017,LOS,6000,291
2017,LOS,6000,292
2017,LOS,6000,293
2017,LOS,6000,294
2017,LOS,6000,294
2017,LOS,6000,295
2017,LOS,6000,295
2017,LOS,6000,296
2017,LOS,6000,297
2017,LOS,6000,297
2017,LOS,6000,300
2017,LOS,6000,301
2017,LOS,6000,304
2017,LOS,6000,304
2017,LOS,6000,305
2017,LOS,6000,306
2017,LOS,6000,307
2017,LOS,6000,309
2017,LOS,6000,309
2017,LOS,6000,315
2017,LOS,6000,322
2017,LOS,6000,322
2017,LOS,6000,324
2017,LOS,8000,88
2017,LOS,8000,151
2017,LOS,8000,154
2017,LOS,8000,154
2017,LOS,8000,155
2017,LOS,8000,163
2017,LOS,8000,170
2017,LOS,8000,216
2017,LOS,8000,217
2017,LOS,8000,218
2017,LOS,8000,223
2017,LOS,8000,226
2017,LOS,8000,231
2017,LOS,8000,231
2017,LOS,8000,232
2017,LOS,8000,233
2017,LOS,8000,233
2017,LOS,8000,234
2017,LOS,8000,234
2017,LOS,8000,234
2017,LOS,8000,234
2017,LOS,8000,236
2017,LOS,8000,237
2017,LOS,8000,237
2017,LOS,8000,238
2017,LOS,8000,238
2017,LOS,8000,240
2017,LOS,8000,240
2017,LOS,8000,240
2017,LOS,8000,241
2017,LOS,8000,242
2017,LOS,8000,242
2017,LOS,8000,243
2017,LOS,8000,243
2017,LOS,8000,245
2017,LOS,8000,245
2017,LOS,8000,246
2017,LOS,8000,246
2017,LOS,8000,247
2017,LOS,8000,247
2017,LOS,8000,247
2017,LOS,8000,247
2017,LOS,8000,248
2017,LOS,8000,248
2017,LOS,8000,249
2017,LOS,8000,250
2017,LOS,8000,250
2017,LOS,8000,250
2017,LOS,8000,251
2017,LOS,8000,251
2017,LOS,8000,252
2017,LOS,8000,252
2017,LOS,8000,253
2017,LOS,8000,253
2017,LOS,8000,253
2017,LOS,8000,253
2017,LOS,8000,254
2017,LOS,8000,254
2017,LOS,8000,254
2017,LOS,8000,254
2017,LOS,8000,255
2017,LOS,8000,255
2017,LOS,8000,256
2017,LOS,8000,256
2017,LOS,8000,256
2017,LOS,8000,256
2017,LOS,8000,257
2017,LOS,8000,257
2017,LOS,8000,257
2017,LOS,8000,257
2017,LOS,8000,258
2017,LOS,8000,258
2017,LOS,8000,258
2017,LOS,8000,258
2017,LOS,8000,258
2017,LOS,8000,258
2017,LOS,8000,258
2017,LOS,8000,259
2017,LOS,8000,260
2017,LOS,8000,261
2017,LOS,8000,261
2017,LOS,8000,261
2017,LOS,8000,261
2017,LOS,8000,261
2017,LOS,8000,262
2017,LOS,8000,263
2017,LOS,8000,263
2017,LOS,8000,264
2017,LOS,8000,264
2017,LOS,8000,264
2017,LOS,8000,264
2017,LOS,8000,264
2017,LOS,8000,264
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,265
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,266
2017,LOS,8000,267
2017,LOS,8000,267
2017,LOS,8000,268
2017,LOS,8000,268
2017,LOS,8000,268
2017,LOS,8000,268
2017,LOS,8000,268
2017,LOS,8000,268
2017,LOS,8000,268
2017,LOS,8000,269
2017,LOS,8000,269
2017,LOS,8000,269
2017,LOS,8000,269
2017,LOS,8000,269
2017,LOS,8000,269
2017,LOS,8000,270
2017,LOS,8000,270
2017,LOS,8000,270
2017,LOS,8000,270
2017,LOS,8000,270
2017,LOS,8000,271
2017,LOS,8000,271
2017,LOS,8000,271
2017,LOS,8000,271
2017,LOS,8000,271
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,272
2017,LOS,8000,273
2017,LOS,8000,273
2017,LOS,8000,273
2017,LOS,8000,274
2017,LOS,8000,274
2017,LOS,8000,274
2017,LOS,8000,274
2017,LOS,8000,274
2017,LOS,8000,274
2017,LOS,8000,275
2017,LOS,8000,275
2017,LOS,8000,275
2017,LOS,8000,275
2017,LOS,8000,275
2017,LOS,8000,275
2017,LOS,8000,275
2017,LOS,8000,276
2017,LOS,8000,276
2017,LOS,8000,276
2017,LOS,8000,276
2017,LOS,8000,276
2017,LOS,8000,276
2017,LOS,8000,276
2017,LOS,8000,277
2017,LOS,8000,277
2017,LOS,8000,277
2017,LOS,8000,277
2017,LOS,8000,277
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,278
2017,LOS,8000,279
2017,LOS,8000,279
2017,LOS,8000,279
2017,LOS,8000,279
2017,LOS,8000,279
2017,LOS,8000,279
2017,LOS,8000,279
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,280
2017,LOS,8000,281
2017,LOS,8000,281
2017,LOS,8000,281
2017,LOS,8000,281
2017,LOS,8000,281
2017,LOS,8000,281
2017,LOS,8000,281
2017,LOS,8000,282
2017,LOS,8000,282
2017,LOS,8000,282
2017,LOS,8000,283
2017,LOS,8000,283
2017,LOS,8000,283
2017,LOS,8000,284
2017,LOS,8000,284
2017,LOS,8000,284
2017,LOS,8000,284
2017,LOS,8000,284
2017,LOS,8000,284
2017,LOS,8000,285
2017,LOS,8000,285
2017,LOS,8000,285
2017,LOS,8000,285
2017,LOS,8000,285
2017,LOS,8000,285
2017,LOS,8000,285
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,286
2017,LOS,8000,287
2017,LOS,8000,287
2017,LOS,8000,287
2017,LOS,8000,287
2017,LOS,8000,288
2017,LOS,8000,288
2017,LOS,8000,288
2017,LOS,8000,288
2017,LOS,8000,288
2017,LOS,8000,289
2017,LOS,8000,289
2017,LOS,8000,289
2017,LOS,8000,289
2017,LOS,8000,290
2017,LOS,8000,290
2017,LOS,8000,291
2017,LOS,8000,291
2017,LOS,8000,291
2017,LOS,8000,291
2017,LOS,8000,292
2017,LOS,8000,292
2017,LOS,8000,292
2017,LOS,8000,292
2017,LOS,8000,293
2017,LOS,8000,293
2017,LOS,8000,293
2017,LOS,8000,293
2017,LOS,8000,293
2017,LOS,8000,293
2017,LOS,8000,294
2017,LOS,8000,294
2017,LOS,8000,295
2017,LOS,8000,295
2017,LOS,8000,295
2017,LOS,8000,296
2017,LOS,8000,296
2017,LOS,8000,297
2017,LOS,8000,298
2017,LOS,8000,298
2017,LOS,8000,299
2017,LOS,8000,299
2017,LOS,8000,301
2017,LOS,8000,304
2017,LOS,8000,304
2017,LOS,8000,304
2017,LOS,8000,304
2017,LOS,8000,304
2017,LOS,8000,307
2017,LOS,8000,311
2017,LOS,8000,314
2017,LOS,8000,316
2017,LOS,8000,321
2017,LOS,8000,323
2017,LOS,10000,89
2017,LOS,10000,93
2017,LOS,10000,99
2017,LOS,10000,129
2017,LOS,10000,135
2017,LOS,10000,142
2017,LOS,10000,143
2017,LOS,10000,144
2017,LOS,10000,151
2017,LOS,10000,152
2017,LOS,10000,153
2017,LOS,10000,156
2017,LOS,10000,156
2017,LOS,10000,158
2017,LOS,10000,158
2017,LOS,10000,161
2017,LOS,10000,163
2017,LOS,10000,163
2017,LOS,10000,175
2017,LOS,10000,194
2017,LOS,10000,222
2017,LOS,10000,225
2017,LOS,10000,227
2017,LOS,10000,227
2017,LOS,10000,227
2017,LOS,10000,227
2017,LOS,10000,229
2017,LOS,10000,229
2017,LOS,10000,231
2017,LOS,10000,232
2017,LOS,10000,232
2017,LOS,10000,233
2017,LOS,10000,234
2017,LOS,10000,234
2017,LOS,10000,234
2017,LOS,10000,235
2017,LOS,10000,236
2017,LOS,10000,236
2017,LOS,10000,237
2017,LOS,10000,239
2017,LOS,10000,241
2017,LOS,10000,243
2017,LOS,10000,243
2017,LOS,10000,243
2017,LOS,10000,245
2017,LOS,10000,246
2017,LOS,10000,246
2017,LOS,10000,247
2017,LOS,10000,248
2017,LOS,10000,248
2017,LOS,10000,249
2017,LOS,10000,251
2017,LOS,10000,251
2017,LOS,10000,251
2017,LOS,10000,252
2017,LOS,10000,252
2017,LOS,10000,253
2017,LOS,10000,253
2017,LOS,10000,253
2017,LOS,10000,254
2017,LOS,10000,255
2017,LOS,10000,255
2017,LOS,10000,255
