Year,Parameter,Distance,date
2011,LOS,2000,176
2011,LOS,2000,178
2011,LOS,2000,179
2011,LOS,2000,181
2011,LOS,2000,182
2011,LOS,2000,182
2011,LOS,2000,183
2011,LOS,2000,186
2011,LOS,2000,186
2011,LOS,2000,188
2011,LOS,2000,188
2011,LOS,2000,190
2011,LOS,2000,191
2011,LOS,2000,192
2011,LOS,2000,196
2011,LOS,2000,198
2011,LOS,2000,200
2011,LOS,2000,200
2011,LOS,2000,208
2011,LOS,2000,233
2011,LOS,2000,235
2011,LOS,2000,240
2011,LOS,2000,244
2011,LOS,2000,245
2011,LOS,2000,246
2011,LOS,2000,247
2011,LOS,2000,247
2011,LOS,2000,248
2011,LOS,2000,251
2011,LOS,2000,251
2011,LOS,2000,253
2011,LOS,2000,253
2011,LOS,2000,254
2011,LOS,2000,255
2011,LOS,2000,256
2011,LOS,2000,256
2011,LOS,2000,257
2011,LOS,2000,258
2011,LOS,2000,260
2011,LOS,2000,261
2011,LOS,2000,262
2011,LOS,2000,263
2011,LOS,2000,263
2011,LOS,2000,271
2011,LOS,2000,273
2011,LOS,2000,275
2011,LOS,4000,159
2011,LOS,4000,175
2011,LOS,4000,175
2011,LOS,4000,178
2011,LOS,4000,180
2011,LOS,4000,181
2011,LOS,4000,182
2011,LOS,4000,182
2011,LOS,4000,182
2011,LOS,4000,183
2011,LOS,4000,183
2011,LOS,4000,184
2011,LOS,4000,185
2011,LOS,4000,185
2011,LOS,4000,186
2011,LOS,4000,186
2011,LOS,4000,186
2011,LOS,4000,188
2011,LOS,4000,191
2011,LOS,4000,192
2011,LOS,4000,193
2011,LOS,4000,195
2011,LOS,4000,195
2011,LOS,4000,195
2011,LOS,4000,195
2011,LOS,4000,197
2011,LOS,4000,197
2011,LOS,4000,198
2011,LOS,4000,198
2011,LOS,4000,198
2011,LOS,4000,200
2011,LOS,4000,205
2011,LOS,4000,208
2011,LOS,4000,210
2011,LOS,4000,241
2011,LOS,4000,241
2011,LOS,4000,242
2011,LOS,4000,244
2011,LOS,4000,245
2011,LOS,4000,246
2011,LOS,4000,246
2011,LOS,4000,247
2011,LOS,4000,247
2011,LOS,4000,247
2011,LOS,4000,248
2011,LOS,4000,249
2011,LOS,4000,249
2011,LOS,4000,250
2011,LOS,4000,250
2011,LOS,4000,250
2011,LOS,4000,250
2011,LOS,4000,250
2011,LOS,4000,251
2011,LOS,4000,252
2011,LOS,4000,252
2011,LOS,4000,255
2011,LOS,4000,255
2011,LOS,4000,256
2011,LOS,4000,256
2011,LOS,4000,261
2011,LOS,4000,263
2011,LOS,4000,266
2011,LOS,4000,271
2011,LOS,4000,272
2011,LOS,4000,272
2011,LOS,4000,273
2011,LOS,4000,275
2011,LOS,4000,276
2011,LOS,4000,276
2011,LOS,4000,277
2011,LOS,4000,278
2011,LOS,4000,278
2011,LOS,4000,280
2011,LOS,4000,281
2011,LOS,4000,284
2011,LOS,4000,286
2011,LOS,6000,153
2011,LOS,6000,174
2011,LOS,6000,177
2011,LOS,6000,181
2011,LOS,6000,181
2011,LOS,6000,182
2011,LOS,6000,182
2011,LOS,6000,183
2011,LOS,6000,184
2011,LOS,6000,185
2011,LOS,6000,186
2011,LOS,6000,186
2011,LOS,6000,186
2011,LOS,6000,186
2011,LOS,6000,187
2011,LOS,6000,188
2011,LOS,6000,188
2011,LOS,6000,188
2011,LOS,6000,189
2011,LOS,6000,190
2011,LOS,6000,190
2011,LOS,6000,191
2011,LOS,6000,191
2011,LOS,6000,192
2011,LOS,6000,192
2011,LOS,6000,192
2011,LOS,6000,192
2011,LOS,6000,192
2011,LOS,6000,193
2011,LOS,6000,193
2011,LOS,6000,194
2011,LOS,6000,196
2011,LOS,6000,198
2011,LOS,6000,199
2011,LOS,6000,200
2011,LOS,6000,202
2011,LOS,6000,204
2011,LOS,6000,205
2011,LOS,6000,206
2011,LOS,6000,208
2011,LOS,6000,213
2011,LOS,6000,221
2011,LOS,6000,230
2011,LOS,6000,233
2011,LOS,6000,233
2011,LOS,6000,236
2011,LOS,6000,237
2011,LOS,6000,237
2011,LOS,6000,238
2011,LOS,6000,239
2011,LOS,6000,241
2011,LOS,6000,242
2011,LOS,6000,242
2011,LOS,6000,242
2011,LOS,6000,242
2011,LOS,6000,242
2011,LOS,6000,243
2011,LOS,6000,244
2011,LOS,6000,245
2011,LOS,6000,245
2011,LOS,6000,245
2011,LOS,6000,245
2011,LOS,6000,245
2011,LOS,6000,246
2011,LOS,6000,246
2011,LOS,6000,246
2011,LOS,6000,246
2011,LOS,6000,247
2011,LOS,6000,247
2011,LOS,6000,247
2011,LOS,6000,247
2011,LOS,6000,248
2011,LOS,6000,248
2011,LOS,6000,248
2011,LOS,6000,248
2011,LOS,6000,248
2011,LOS,6000,248
2011,LOS,6000,249
2011,LOS,6000,249
2011,LOS,6000,249
2011,LOS,6000,249
2011,LOS,6000,249
2011,LOS,6000,249
2011,LOS,6000,250
2011,LOS,6000,250
2011,LOS,6000,250
2011,LOS,6000,251
2011,LOS,6000,251
2011,LOS,6000,251
2011,LOS,6000,251
2011,LOS,6000,252
2011,LOS,6000,252
2011,LOS,6000,252
2011,LOS,6000,252
2011,LOS,6000,252
2011,LOS,6000,253
2011,LOS,6000,253
2011,LOS,6000,254
2011,LOS,6000,254
2011,LOS,6000,254
2011,LOS,6000,255
2011,LOS,6000,255
2011,LOS,6000,255
2011,LOS,6000,255
2011,LOS,6000,256
2011,LOS,6000,256
2011,LOS,6000,256
2011,LOS,6000,257
2011,LOS,6000,257
2011,LOS,6000,257
2011,LOS,6000,258
2011,LOS,6000,258
2011,LOS,6000,258
2011,LOS,6000,259
2011,LOS,6000,260
2011,LOS,6000,260
2011,LOS,6000,262
2011,LOS,6000,263
2011,LOS,6000,264
2011,LOS,6000,264
2011,LOS,6000,264
2011,LOS,6000,265
2011,LOS,6000,265
2011,LOS,6000,265
2011,LOS,6000,267
2011,LOS,6000,267
2011,LOS,6000,267
2011,LOS,6000,268
2011,LOS,6000,268
2011,LOS,6000,268
2011,LOS,6000,269
2011,LOS,6000,269
2011,LOS,6000,271
2011,LOS,6000,273
2011,LOS,6000,274
2011,LOS,6000,274
2011,LOS,6000,274
2011,LOS,6000,275
2011,LOS,6000,278
2011,LOS,6000,279
