OID_,Value,Count,,127,,127
1,127,1,,162,,162
2,162,1,,174,,174
3,174,1,,181,,181
4,181,1,,184,,184
5,184,1,,187,,187
6,187,1,,200,,200
7,200,1,,201,,201
8,201,1,,209,,209
9,209,2,,209,,209
11,210,1,,210,,210
12,211,4,,211,,211
16,212,1,,211,,211
17,213,3,,211,,211
20,214,4,,211,,211
24,215,4,,212,,212
28,216,4,,213,,213
32,217,2,,213,,213
34,218,5,,213,,213
39,219,4,,214,,214
43,220,4,,214,,214
47,221,8,,214,,214
55,222,5,,214,,214
60,223,5,,215,,215
65,224,9,,215,,215
74,225,6,,215,,215
80,226,5,,215,,215
85,227,7,,216,,216
92,228,10,,216,,216
102,229,12,,216,,216
114,230,2,,216,,216
116,231,9,,217,,217
125,232,9,,217,,217
134,233,14,,218,,218
148,234,10,,218,,218
158,235,11,,218,,218
169,236,19,,218,,218
188,237,7,,218,,218
195,238,2,,219,,219
197,239,16,,219,,219
213,240,6,,219,,219
219,241,14,,219,,219
233,242,12,,220,,220
245,243,9,,220,,220
254,244,7,,220,,220
261,245,11,,220,,220
272,246,6,,221,,221
278,247,13,,221,,221
291,248,13,,221,,221
304,249,10,,221,,221
314,250,4,,221,,221
318,251,10,,221,,221
328,252,11,,221,,221
339,253,9,,221,,221
348,254,9,,222,,222
357,255,8,,222,,222
365,256,10,,222,,222
375,257,10,,222,,222
385,258,13,,222,,222
398,259,7,,223,,223
405,260,7,,223,,223
412,261,11,,223,,223
423,262,8,,223,,223
431,263,8,,223,,223
439,264,2,,224,,224
441,265,3,,224,,224
444,266,4,,224,,224
448,267,9,,224,,224
457,268,8,,224,,224
465,269,5,,224,,224
470,270,2,,224,,224
472,271,4,,224,,224
476,272,6,,224,,224
482,273,7,,225,,225
489,274,4,,225,,225
493,275,3,,225,,225
496,276,1,,225,,225
497,277,2,,225,,225
499,278,1,,225,,225
500,280,2,,226,,226
502,281,2,,226,,226
504,282,3,,226,,226
507,283,1,,226,,226
508,284,4,,226,,226
512,285,2,,227,,227
514,286,3,,227,,227
517,287,1,,227,,227
518,288,1,,227,,227
519,289,1,,227,,227
520,291,3,,227,,227
523,292,2,,227,,227
525,294,1,,228,,228
526,296,1,,228,,228
527,297,2,,228,,228
529,298,1,,228,,228
530,301,1,,228,,228
531,302,1,,228,,228
532,305,2,,228,,228
534,306,1,,228,,228
535,312,2,,228,,228
537,315,2,,228,,228
539,318,2,,229,,229
541,329,1,,229,,229
542,330,1,,229,,229
543,331,1,,229,,229
544,338,2,,229,,229
,,,,229,,229
,,,,229,,229
,,,,229,,229
,,,,229,,229
,,,,229,,229
,,,,229,,229
,,,,229,,229
,,,,230,,230
,,,,230,,230
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,231,,231
,,,,232,,232
,,,,232,,232
,,,,232,,232
,,,,232,,232
,,,,232,,232
,,,,232,,232
,,,,232,,232
