OID_,Value,Count,,72,,72
1,72,1,,83,,83
2,83,1,,86,,86
3,86,1,,87,,87
4,87,1,,131,,131
5,131,1,,142,,142
6,142,1,,146,,146
7,146,1,,147,,147
8,147,1,,149,,149
9,149,1,,153,,153
10,153,1,,154,,154
11,154,2,,154,,154
13,156,2,,156,,156
15,158,1,,156,,156
16,160,3,,158,,158
19,161,3,,160,,160
22,164,1,,160,,160
23,166,1,,160,,160
24,167,3,,161,,161
27,168,1,,161,,161
28,170,3,,161,,161
31,171,2,,164,,164
33,173,3,,166,,166
36,175,3,,167,,167
39,176,3,,167,,167
42,177,5,,167,,167
47,178,1,,168,,168
48,179,2,,170,,170
50,180,4,,170,,170
54,181,2,,170,,170
56,182,3,,171,,171
59,183,2,,171,,171
61,185,2,,173,,173
63,186,4,,173,,173
67,188,3,,173,,173
70,189,1,,175,,175
71,190,1,,175,,175
72,192,3,,175,,175
75,193,4,,176,,176
79,194,2,,176,,176
81,195,1,,176,,176
82,196,3,,177,,177
85,197,1,,177,,177
86,199,1,,177,,177
87,201,2,,177,,177
89,208,1,,177,,177
90,209,1,,178,,178
91,212,1,,179,,179
92,215,2,,179,,179
94,216,1,,180,,180
95,220,1,,180,,180
96,221,1,,180,,180
97,223,2,,180,,180
99,224,2,,181,,181
101,225,3,,181,,181
104,226,1,,182,,182
105,227,2,,182,,182
107,228,1,,182,,182
108,229,3,,183,,183
111,230,3,,183,,183
114,231,2,,185,,185
116,232,3,,185,,185
119,233,1,,186,,186
120,234,5,,186,,186
125,235,3,,186,,186
128,236,5,,186,,186
133,237,2,,188,,188
135,238,6,,188,,188
141,239,9,,188,,188
150,240,6,,189,,189
156,241,10,,190,,190
166,242,10,,192,,192
176,243,10,,192,,192
186,244,7,,192,,192
193,245,14,,193,,193
207,246,17,,193,,193
224,247,12,,193,,193
236,248,23,,193,,193
259,249,15,,194,,194
274,250,28,,194,,194
302,251,20,,195,,195
322,252,30,,196,,196
352,253,26,,196,,196
378,254,21,,196,,196
399,255,22,,197,,197
421,256,21,,199,,199
442,257,19,,201,,201
461,258,24,,201,,201
485,259,18,,208,,208
503,260,22,,209,,209
525,261,26,,212,,212
551,262,7,,215,,215
558,263,17,,215,,215
575,264,21,,216,,216
596,265,17,,220,,220
613,266,29,,221,,221
642,267,16,,223,,223
658,268,17,,223,,223
675,269,9,,224,,224
684,270,13,,224,,224
697,271,24,,225,,225
721,272,23,,225,,225
744,273,11,,225,,225
755,274,21,,226,,226
776,275,10,,227,,227
786,276,13,,227,,227
799,277,12,,228,,228
811,278,17,,229,,229
828,279,8,,229,,229
836,280,9,,229,,229
845,281,13,,230,,230
858,282,9,,230,,230
867,283,10,,230,,230
877,284,3,,231,,231
880,285,3,,231,,231
883,286,3,,232,,232
886,287,4,,232,,232
890,288,5,,232,,232
895,289,11,,233,,233
906,290,1,,234,,234
907,291,3,,234,,234
910,292,2,,234,,234
912,293,2,,234,,234
914,294,1,,234,,234
915,295,1,,235,,235
916,296,1,,235,,235
917,297,2,,235,,235
919,298,1,,236,,236
920,299,1,,236,,236
921,300,3,,236,,236
924,303,1,,236,,236
925,304,1,,236,,236
926,309,1,,237,,237
927,319,1,,237,,237
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,240,,240
,,,,240,,240
,,,,240,,240
