OID_,Value,Count,,149,,,149
1,149,1,,162,,,162
2,162,1,,169,,,169
3,169,1,,171,,,171
4,171,1,,176,,,176
5,176,1,,178,,,178
6,178,1,,179,,,179
7,179,1,,181,,,181
8,181,4,,181,,,181
12,182,1,,181,,,181
13,183,1,,181,,,181
14,185,2,,182,,,182
16,186,2,,183,,,183
18,187,2,,185,,,185
20,188,1,,185,,,185
21,189,4,,186,,,186
25,190,2,,186,,,186
27,191,3,,187,,,187
30,192,2,,187,,,187
32,193,5,,188,,,188
37,194,2,,189,,,189
39,195,5,,189,,,189
44,196,1,,189,,,189
45,197,5,,189,,,189
50,198,2,,190,,,190
52,199,1,,190,,,190
53,200,3,,191,,,191
56,201,1,,191,,,191
57,202,1,,191,,,191
58,203,1,,192,,,192
59,204,6,,192,,,192
65,205,1,,193,,,193
66,206,4,,193,,,193
70,208,1,,193,,,193
71,211,1,,193,,,193
72,212,2,,193,,,193
74,213,2,,194,,,194
76,215,2,,194,,,194
78,217,1,,195,,,195
79,219,1,,195,,,195
80,221,1,,195,,,195
81,222,2,,195,,,195
83,225,2,,195,,,195
85,227,6,,196,,,196
91,228,1,,197,,,197
92,229,1,,197,,,197
93,230,1,,197,,,197
94,231,2,,197,,,197
96,232,3,,197,,,197
99,233,1,,198,,,198
100,234,2,,198,,,198
102,235,1,,199,,,199
103,236,2,,200,,,200
105,237,1,,200,,,200
106,238,1,,200,,,200
107,239,2,,201,,,201
109,241,2,,202,,,202
111,242,1,,203,,,203
112,243,4,,204,,,204
116,244,2,,204,,,204
118,245,2,,204,,,204
120,246,4,,204,,,204
124,247,5,,204,,,204
129,248,3,,204,,,204
132,249,7,,205,,,205
139,250,9,,206,,,206
148,251,5,,206,,,206
153,252,3,,206,,,206
156,253,3,,206,,,206
159,254,6,,208,,,208
165,255,2,,211,,,211
167,256,7,,212,,,212
174,257,6,,212,,,212
180,258,9,,213,,,213
189,259,5,,213,,,213
194,260,4,,215,,,215
198,261,9,,215,,,215
207,262,6,,217,,,217
213,263,5,,219,,,219
218,264,5,,221,,,221
223,265,7,,222,,,222
230,266,4,,222,,,222
234,267,4,,225,,,225
238,268,4,,225,,,225
242,269,8,,227,,,227
250,270,4,,227,,,227
254,271,3,,227,,,227
257,272,7,,227,,,227
264,273,4,,227,,,227
268,274,3,,227,,,227
271,276,5,,228,,,228
276,277,2,,229,,,229
278,278,5,,230,,,230
283,279,3,,231,,,231
286,280,6,,231,,,231
292,281,2,,232,,,232
294,282,2,,232,,,232
296,283,1,,232,,,232
297,284,4,,233,,,233
301,285,1,,234,,,234
302,287,3,,234,,,234
305,288,4,,235,,,235
309,289,3,,236,,,236
312,296,1,,236,,,236
,,,,237,,,237
,,,,238,,,238
,,,,239,,,239
,,,,239,,,239
,,,,241,,,241
,,,,241,,,241
,,,,242,,,242
,,,,243,,,243
,,,,243,,,243
,,,,243,,,243
,,,,243,,,243
,,,,244,,,244
,,,,244,,,244
,,,,245,,,245
,,,,245,,,245
,,,,246,,,246
,,,,246,,,246
,,,,246,,,246
,,,,246,,,246
,,,,247,,,247
,,,,247,,,247
,,,,247,,,247
,,,,247,,,247
