OID_,Value,Count,,140,,140
1,140,1,,141,,141
2,141,1,,145,,145
3,145,2,,145,,145
5,151,1,,151,,151
6,153,1,,153,,153
7,156,1,,156,,156
8,158,1,,158,,158
9,159,1,,159,,159
10,163,1,,163,,163
11,165,2,,165,,165
13,166,4,,165,,165
17,169,2,,166,,166
19,170,1,,166,,166
20,171,1,,166,,166
21,172,1,,166,,166
22,174,1,,169,,169
23,175,3,,169,,169
26,176,1,,170,,170
27,177,2,,171,,171
29,178,2,,172,,172
31,179,1,,174,,174
32,180,1,,175,,175
33,181,1,,175,,175
34,182,3,,175,,175
37,183,3,,176,,176
40,184,4,,177,,177
44,185,2,,177,,177
46,186,3,,178,,178
49,187,5,,178,,178
54,188,2,,179,,179
56,189,4,,180,,180
60,190,6,,181,,181
66,191,5,,182,,182
71,192,4,,182,,182
75,193,9,,182,,182
84,194,2,,183,,183
86,195,1,,183,,183
87,196,5,,183,,183
92,197,7,,184,,184
99,198,5,,184,,184
104,199,2,,184,,184
106,200,2,,184,,184
108,201,3,,185,,185
111,202,6,,185,,185
117,203,6,,186,,186
123,204,9,,186,,186
132,205,4,,186,,186
136,206,9,,187,,187
145,207,4,,187,,187
149,208,5,,187,,187
154,209,2,,187,,187
156,210,2,,187,,187
158,211,4,,188,,188
162,212,2,,188,,188
164,213,1,,189,,189
165,214,2,,189,,189
167,215,1,,189,,189
168,216,1,,189,,189
169,217,2,,190,,190
171,218,1,,190,,190
172,219,1,,190,,190
173,220,2,,190,,190
175,221,2,,190,,190
177,222,3,,190,,190
180,224,4,,191,,191
184,225,2,,191,,191
186,226,1,,191,,191
187,227,1,,191,,191
188,228,1,,191,,191
189,229,1,,192,,192
190,230,4,,192,,192
194,231,1,,192,,192
195,232,4,,192,,192
199,233,1,,193,,193
200,234,3,,193,,193
203,235,3,,193,,193
206,236,4,,193,,193
210,237,4,,193,,193
214,238,6,,193,,193
220,239,2,,193,,193
222,240,3,,193,,193
225,241,3,,193,,193
228,242,2,,194,,194
230,243,1,,194,,194
231,244,6,,195,,195
237,245,2,,196,,196
239,246,2,,196,,196
241,247,4,,196,,196
245,249,3,,196,,196
248,250,2,,196,,196
250,251,8,,197,,197
258,252,4,,197,,197
262,253,4,,197,,197
266,254,3,,197,,197
269,255,3,,197,,197
272,256,8,,197,,197
280,257,2,,197,,197
282,258,1,,198,,198
283,259,3,,198,,198
286,260,3,,198,,198
289,261,2,,198,,198
291,262,6,,198,,198
297,263,7,,199,,199
304,264,1,,199,,199
305,265,1,,200,,200
306,266,4,,200,,200
310,267,4,,201,,201
314,269,4,,201,,201
318,270,2,,201,,201
320,272,1,,202,,202
321,273,2,,202,,202
323,274,2,,202,,202
325,276,3,,202,,202
328,277,3,,202,,202
331,278,3,,202,,202
334,279,1,,203,,203
335,282,3,,203,,203
338,283,1,,203,,203
339,287,2,,203,,203
341,289,1,,203,,203
342,290,1,,203,,203
343,291,1,,204,,204
344,294,1,,204,,204
345,311,1,,204,,204
,,,,204,,204
,,,,204,,204
,,,,204,,204
,,,,204,,204
,,,,204,,204
,,,,204,,204
,,,,205,,205
,,,,205,,205
,,,,205,,205
,,,,205,,205
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,206,,206
,,,,207,,207
,,,,207,,207
,,,,207,,207
,,,,207,,207
,,,,208,,208
,,,,208,,208
,,,,208,,208
,,,,208,,208
,,,,208,,208
,,,,209,,209
,,,,209,,209
,,,,210,,210
,,,,210,,210
,,,,211,,211
,,,,211,,211
,,,,211,,211
,,,,211,,211
,,,,212,,212
,,,,212,,212
,,,,213,,213
,,,,214,,214
,,,,214,,214
,,,,215,,215
,,,,216,,216
,,,,217,,217
,,,,217,,217
,,,,218,,218
,,,,219,,219
,,,,220,,220
,,,,220,,220
,,,,221,,221
,,,,221,,221
,,,,222,,222
,,,,222,,222
,,,,222,,222
,,,,224,,224
,,,,224,,224
,,,,224,,224
,,,,224,,224
,,,,225,,225
,,,,225,,225
,,,,226,,226
,,,,227,,227
,,,,228,,228
,,,,229,,229
,,,,230,,230
,,,,230,,230
,,,,230,,230
,,,,230,,230
,,,,231,,231
,,,,232,,232
,,,,232,,232
,,,,232,,232
,,,,232,,232
,,,,233,,233
,,,,234,,234
,,,,234,,234
,,,,234,,234
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,236,,236
,,,,236,,236
,,,,236,,236
,,,,236,,236
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,239,,239
,,,,239,,239
,,,,240,,240
,,,,240,,240
,,,,240,,240
,,,,241,,241
,,,,241,,241
,,,,241,,241
,,,,242,,242
,,,,242,,242
,,,,243,,243
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,245,,245
,,,,245,,245
,,,,246,,246
,,,,246,,246
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,250,,250
,,,,250,,250
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,252,,252
,,,,252,,252
,,,,252,,252
,,,,252,,252
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,255,,255
,,,,255,,255
,,,,255,,255
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,257,,257
,,,,257,,257
,,,,258,,258
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,260,,260
,,,,260,,260
,,,,260,,260
,,,,261,,261
,,,,261,,261
,,,,262,,262
,,,,262,,262
,,,,262,,262
,,,,262,,262
,,,,262,,262
,,,,262,,262
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,264,,264
,,,,265,,265
,,,,266,,266
,,,,266,,266
,,,,266,,266
,,,,266,,266
,,,,267,,267
,,,,267,,267
,,,,267,,267
,,,,267,,267
,,,,269,,269
,,,,269,,269
,,,,269,,269
,,,,269,,269
,,,,270,,270
,,,,270,,270
,,,,272,,272
,,,,273,,273
,,,,273,,273
,,,,274,,274
,,,,274,,274
,,,,276,,276
,,,,276,,276
,,,,276,,276
,,,,277,,277
,,,,277,,277
,,,,277,,277
,,,,278,,278
,,,,278,,278
,,,,278,,278
,,,,279,,279
,,,,282,,282
,,,,282,,282
,,,,282,,282
,,,,283,,283
,,,,287,,287
,,,,287,,287
,,,,289,,289
,,,,290,,290
,,,,291,,291
,,,,294,,294
,,,,311,,311
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
