OID_,Value,Count,,222,,222
1,222,1,,224,,224
2,224,1,,231,,231
3,231,1,,233,,233
4,233,1,,235,,235
5,235,1,,238,,238
6,238,1,,239,,239
7,239,1,,240,,240
8,240,1,,241,,241
9,241,1,,242,,242
10,242,5,,242,,242
15,243,1,,242,,242
16,244,1,,242,,242
17,246,1,,242,,242
18,247,2,,243,,243
20,248,3,,244,,244
23,249,2,,246,,246
25,250,2,,247,,247
27,251,2,,247,,247
29,252,2,,248,,248
31,253,1,,248,,248
32,254,4,,248,,248
36,255,5,,249,,249
41,256,1,,249,,249
42,257,3,,250,,250
45,258,4,,250,,250
49,259,3,,251,,251
52,260,9,,251,,251
61,261,4,,252,,252
65,262,3,,252,,252
68,263,8,,253,,253
76,264,4,,254,,254
80,265,3,,254,,254
83,266,2,,254,,254
85,267,3,,254,,254
88,268,4,,255,,255
92,269,3,,255,,255
95,270,6,,255,,255
101,271,3,,255,,255
104,272,1,,255,,255
105,273,3,,256,,256
108,274,4,,257,,257
112,275,4,,257,,257
116,276,2,,257,,257
118,277,1,,258,,258
119,278,3,,258,,258
122,279,1,,258,,258
123,280,4,,258,,258
127,281,2,,259,,259
129,282,2,,259,,259
131,283,4,,259,,259
135,284,2,,260,,260
137,285,3,,260,,260
140,286,1,,260,,260
141,287,4,,260,,260
145,288,2,,260,,260
147,289,2,,260,,260
149,292,2,,260,,260
151,295,1,,260,,260
152,305,1,,260,,260
,,,,261,,261
,,,,261,,261
,,,,261,,261
,,,,261,,261
,,,,262,,262
,,,,262,,262
,,,,262,,262
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,264,,264
,,,,264,,264
,,,,264,,264
,,,,264,,264
,,,,265,,265
,,,,265,,265
,,,,265,,265
,,,,266,,266
,,,,266,,266
,,,,267,,267
,,,,267,,267
,,,,267,,267
,,,,268,,268
,,,,268,,268
,,,,268,,268
,,,,268,,268
,,,,269,,269
,,,,269,,269
,,,,269,,269
,,,,270,,270
,,,,270,,270
,,,,270,,270
,,,,270,,270
,,,,270,,270
,,,,270,,270
,,,,271,,271
,,,,271,,271
,,,,271,,271
,,,,272,,272
,,,,273,,273
,,,,273,,273
,,,,273,,273
,,,,274,,274
,,,,274,,274
,,,,274,,274
,,,,274,,274
,,,,275,,275
,,,,275,,275
,,,,275,,275
,,,,275,,275
,,,,276,,276
,,,,276,,276
,,,,277,,277
,,,,278,,278
,,,,278,,278
,,,,278,,278
,,,,279,,279
,,,,280,,280
,,,,280,,280
,,,,280,,280
,,,,280,,280
,,,,281,,281
,,,,281,,281
,,,,282,,282
,,,,282,,282
,,,,283,,283
,,,,283,,283
,,,,283,,283
,,,,283,,283
,,,,284,,284
,,,,284,,284
,,,,285,,285
,,,,285,,285
,,,,285,,285
,,,,286,,286
,,,,287,,287
,,,,287,,287
,,,,287,,287
,,,,287,,287
,,,,288,,288
,,,,288,,288
,,,,289,,289
,,,,289,,289
,,,,292,,292
,,,,292,,292
,,,,295,,295
,,,,305,,305
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
