OID_,Value,Count,,171,,171
1,171,1,,181,,181
2,181,2,,181,,181
4,194,1,,194,,194
5,237,2,,237,,237
7,245,1,,237,,237
8,251,1,,245,,245
9,253,1,,251,,251
10,254,1,,253,,253
11,255,1,,254,,254
12,256,2,,255,,255
14,258,1,,256,,256
15,261,1,,256,,256
16,263,2,,258,,258
18,264,1,,261,,261
19,265,2,,263,,263
21,267,2,,263,,263
23,268,2,,264,,264
25,269,2,,265,,265
27,270,2,,265,,265
29,271,2,,267,,267
31,272,2,,267,,267
33,273,1,,268,,268
34,274,1,,268,,268
35,275,4,,269,,269
39,276,1,,269,,269
40,277,1,,270,,270
41,280,2,,270,,270
43,284,1,,271,,271
44,285,1,,271,,271
45,290,1,,272,,272
46,300,1,,272,,272
,,,,273,,273
,,,,274,,274
,,,,275,,275
,,,,275,,275
,,,,275,,275
,,,,275,,275
,,,,276,,276
,,,,277,,277
,,,,280,,280
,,,,280,,280
,,,,284,,284
,,,,285,,285
,,,,290,,290
,,,,300,,300
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
