OID_,Value,Count,,89,,,89
1,89,1,,93,,,93
2,93,1,,99,,,99
3,99,1,,129,,,129
4,129,1,,135,,,135
5,135,1,,142,,,142
6,142,1,,143,,,143
7,143,1,,144,,,144
8,144,1,,151,,,151
9,151,1,,152,,,152
10,152,1,,153,,,153
11,153,1,,156,,,156
12,156,2,,156,,,156
14,158,2,,158,,,158
16,161,1,,158,,,158
17,163,2,,161,,,161
19,175,1,,163,,,163
20,194,1,,163,,,163
21,222,1,,175,,,175
22,225,1,,194,,,194
23,227,4,,222,,,222
27,229,2,,225,,,225
29,231,1,,227,,,227
30,232,2,,227,,,227
32,233,1,,227,,,227
33,234,3,,227,,,227
36,235,1,,229,,,229
37,236,2,,229,,,229
39,237,1,,231,,,231
40,239,1,,232,,,232
41,241,1,,232,,,232
42,243,3,,233,,,233
45,245,1,,234,,,234
46,246,2,,234,,,234
48,247,1,,234,,,234
49,248,2,,235,,,235
51,249,1,,236,,,236
52,251,3,,236,,,236
55,252,2,,237,,,237
57,253,3,,239,,,239
60,254,1,,241,,,241
61,255,3,,243,,,243
64,256,3,,243,,,243
67,257,4,,243,,,243
71,258,6,,245,,,245
77,259,5,,246,,,246
82,260,7,,246,,,246
89,261,9,,247,,,247
98,262,4,,248,,,248
102,263,10,,248,,,248
112,264,4,,249,,,249
116,265,7,,251,,,251
123,266,8,,251,,,251
131,267,9,,251,,,251
140,268,4,,252,,,252
144,269,9,,252,,,252
153,270,12,,253,,,253
165,271,15,,253,,,253
180,272,5,,253,,,253
185,273,9,,254,,,254
194,274,9,,255,,,255
203,275,5,,255,,,255
208,276,7,,255,,,255
215,277,8,,256,,,256
223,278,7,,256,,,256
230,279,7,,256,,,256
237,280,4,,257,,,257
241,281,5,,257,,,257
246,282,4,,257,,,257
250,283,15,,257,,,257
265,284,8,,258,,,258
273,285,9,,258,,,258
282,286,4,,258,,,258
286,287,4,,258,,,258
290,288,9,,258,,,258
299,289,6,,258,,,258
305,290,3,,259,,,259
308,291,3,,259,,,259
311,292,2,,259,,,259
313,293,1,,259,,,259
314,294,2,,259,,,259
316,295,5,,260,,,260
321,296,2,,260,,,260
323,297,4,,260,,,260
327,298,1,,260,,,260
328,299,4,,260,,,260
332,303,2,,260,,,260
334,304,1,,260,,,260
335,305,1,,261,,,261
336,306,1,,261,,,261
337,307,1,,261,,,261
338,308,1,,261,,,261
339,310,1,,261,,,261
340,311,2,,261,,,261
342,325,1,,261,,,261
343,335,1,,261,,,261
,,,,261,,,261
,,,,262,,,262
,,,,262,,,262
,,,,262,,,262
,,,,262,,,262
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,263,,,263
,,,,264,,,264
,,,,264,,,264
,,,,264,,,264
,,,,264,,,264
,,,,265,,,265
,,,,265,,,265
,,,,265,,,265
,,,,265,,,265
,,,,265,,,265
,,,,265,,,265
,,,,265,,,265
,,,,266,,,266
,,,,266,,,266
,,,,266,,,266
,,,,266,,,266
,,,,266,,,266
,,,,266,,,266
,,,,266,,,266
,,,,266,,,266
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,267,,,267
,,,,268,,,268
,,,,268,,,268
,,,,268,,,268
,,,,268,,,268
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,269,,,269
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,270,,,270
,,,,271,,,271
,,,,271,,,271
,,,,271,,,271
,,,,271,,,271
,,,,271,,,271
,,,,271,,,271
,,,,271,,,271
,,,,271,,,271
