OID_,Value,Count,,84,,84
1,84,1,,89,,89
2,89,1,,94,,94
3,94,1,,103,,103
4,103,1,,111,,111
5,111,1,,113,,113
6,113,1,,119,,119
7,119,1,,125,,125
8,125,1,,132,,132
9,132,1,,137,,137
10,137,1,,139,,139
11,139,1,,141,,141
12,141,1,,147,,147
13,147,1,,151,,151
14,151,1,,157,,157
15,157,1,,159,,159
16,159,2,,159,,159
18,160,1,,160,,160
19,161,1,,161,,161
20,163,1,,163,,163
21,165,2,,165,,165
23,170,3,,165,,165
26,172,1,,170,,170
27,174,3,,170,,170
30,177,2,,170,,170
32,179,1,,172,,172
33,181,2,,174,,174
35,183,2,,174,,174
37,184,1,,174,,174
38,185,1,,177,,177
39,187,1,,177,,177
40,188,1,,179,,179
41,189,1,,181,,181
42,190,1,,181,,181
43,192,1,,183,,183
44,193,3,,183,,183
47,195,3,,184,,184
50,196,1,,185,,185
51,197,1,,187,,187
52,198,2,,188,,188
54,203,1,,189,,189
55,205,2,,190,,190
57,219,1,,192,,192
58,233,1,,193,,193
59,236,1,,193,,193
60,237,1,,193,,193
61,238,1,,195,,195
62,239,2,,195,,195
64,242,1,,195,,195
65,243,3,,196,,196
68,244,2,,197,,197
70,245,1,,198,,198
71,246,5,,198,,198
76,248,5,,203,,203
81,249,3,,205,,205
84,250,7,,205,,205
91,251,8,,219,,219
99,252,4,,233,,233
103,253,4,,236,,236
107,254,11,,237,,237
118,255,2,,238,,238
120,256,11,,239,,239
131,257,9,,239,,239
140,258,5,,242,,242
145,259,18,,243,,243
163,260,11,,243,,243
174,261,13,,243,,243
187,262,4,,244,,244
191,263,11,,244,,244
202,264,15,,245,,245
217,265,12,,246,,246
229,266,5,,246,,246
234,267,4,,246,,246
238,268,7,,246,,246
245,269,10,,246,,246
255,270,7,,248,,248
262,271,3,,248,,248
265,272,3,,248,,248
268,273,6,,248,,248
274,274,8,,248,,248
282,275,8,,249,,249
290,276,3,,249,,249
293,277,9,,249,,249
302,278,6,,250,,250
308,279,8,,250,,250
316,280,6,,250,,250
322,281,8,,250,,250
330,282,7,,250,,250
337,283,6,,250,,250
343,284,8,,250,,250
351,285,7,,251,,251
358,286,2,,251,,251
360,287,2,,251,,251
362,288,3,,251,,251
365,289,2,,251,,251
367,290,2,,251,,251
369,292,1,,251,,251
370,301,1,,251,,251
371,302,1,,252,,252
372,304,1,,252,,252
373,308,1,,252,,252
,,,,252,,252
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,254,,254
,,,,255,,255
,,,,255,,255
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,258,,258
,,,,258,,258
,,,,258,,258
,,,,258,,258
,,,,258,,258
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
