OID_,Value,Count
,97,1.000000000000000
,111,1.000000000000000
,119,1.000000000000000
,135,2.000000000000000
,137,1.000000000000000
,138,2.000000000000000
,142,2.000000000000000
,144,2.000000000000000
,145,2.000000000000000
,146,2.000000000000000
,147,2.000000000000000
,148,3.000000000000000
,149,4.000000000000000
,150,4.000000000000000
,151,2.000000000000000
,152,2.000000000000000
,154,7.000000000000000
,155,2.000000000000000
,156,2.000000000000000
,157,1.000000000000000
,158,1.000000000000000
,160,1.000000000000000
,161,1.000000000000000
,162,1.000000000000000
,163,1.000000000000000
,167,1.000000000000000
,184,2.000000000000000
,220,1.000000000000000
,221,1.000000000000000
,225,2.000000000000000
,228,3.000000000000000
,229,2.000000000000000
,231,1.000000000000000
,233,3.000000000000000
,235,2.000000000000000
,236,5.000000000000000
,237,3.000000000000000
,238,3.000000000000000
,239,1.000000000000000
,240,1.000000000000000
,241,3.000000000000000
,242,3.000000000000000
,243,1.000000000000000
,245,3.000000000000000
,246,2.000000000000000
,247,1.000000000000000
,248,2.000000000000000
,249,2.000000000000000
,250,4.000000000000000
,251,1.000000000000000
,252,2.000000000000000
,253,4.000000000000000
,254,5.000000000000000
,255,3.000000000000000
,256,4.000000000000000
,257,6.000000000000000
,258,7.000000000000000
,259,6.000000000000000
,260,3.000000000000000
,261,7.000000000000000
,262,6.000000000000000
,263,2.000000000000000
,264,7.000000000000000
,265,13.000000000000000
,266,5.000000000000000
,267,8.000000000000000
,268,8.000000000000000
,269,10.000000000000000
,270,9.000000000000000
,271,10.000000000000000
,272,9.000000000000000
,273,7.000000000000000
,274,13.000000000000000
,275,7.000000000000000
,276,11.000000000000000
,277,11.000000000000000
,278,10.000000000000000
,279,11.000000000000000
,280,5.000000000000000
,281,5.000000000000000
,282,13.000000000000000
,283,6.000000000000000
,284,5.000000000000000
,285,8.000000000000000
,286,8.000000000000000
,287,8.000000000000000
,288,4.000000000000000
,289,7.000000000000000
,290,5.000000000000000
,291,3.000000000000000
,292,7.000000000000000
,293,10.000000000000000
,294,6.000000000000000
,295,9.000000000000000
,296,5.000000000000000
,297,4.000000000000000
,298,5.000000000000000
,299,4.000000000000000
,300,3.000000000000000
,301,4.000000000000000
,302,4.000000000000000
,303,1.000000000000000
,304,2.000000000000000
,305,2.000000000000000
,306,1.000000000000000
,308,1.000000000000000
,310,2.000000000000000
,312,1.000000000000000
,313,2.000000000000000
,316,1.000000000000000
,321,1.000000000000000
