OID_,Value,Count,,159,,159
1,159,1,,175,,175
2,175,2,,175,,175
4,178,1,,178,,178
5,180,1,,180,,180
6,181,1,,181,,181
7,182,3,,182,,182
10,183,2,,182,,182
12,184,1,,182,,182
13,185,2,,183,,183
15,186,3,,183,,183
18,188,1,,184,,184
19,191,1,,185,,185
20,192,1,,185,,185
21,193,1,,186,,186
22,195,4,,186,,186
26,197,2,,186,,186
28,198,3,,188,,188
31,200,1,,191,,191
32,205,1,,192,,192
33,208,1,,193,,193
34,210,1,,195,,195
35,241,2,,195,,195
37,242,1,,195,,195
38,244,1,,195,,195
39,245,1,,197,,197
40,246,2,,197,,197
42,247,3,,198,,198
45,248,1,,198,,198
46,249,2,,198,,198
48,250,5,,200,,200
53,251,1,,205,,205
54,252,2,,208,,208
56,255,2,,210,,210
58,256,2,,241,,241
60,261,1,,241,,241
61,263,1,,242,,242
62,266,1,,244,,244
63,271,1,,245,,245
64,272,2,,246,,246
66,273,1,,246,,246
67,275,1,,247,,247
68,276,2,,247,,247
70,277,1,,247,,247
71,278,2,,248,,248
73,280,1,,249,,249
74,281,1,,249,,249
75,284,1,,250,,250
76,286,1,,250,,250
,,,,250,,250
,,,,250,,250
,,,,250,,250
,,,,251,,251
,,,,252,,252
,,,,252,,252
,,,,255,,255
,,,,255,,255
,,,,256,,256
,,,,256,,256
,,,,261,,261
,,,,263,,263
,,,,266,,266
,,,,271,,271
,,,,272,,272
,,,,272,,272
,,,,273,,273
,,,,275,,275
,,,,276,,276
,,,,276,,276
,,,,277,,277
,,,,278,,278
,,,,278,,278
,,,,280,,280
,,,,281,,281
,,,,284,,284
,,,,286,,286
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
