OID_,Value,Count,,268,,268
1,268,1,,272,,272
2,272,1,,274,,274
3,274,1,,275,,275
4,275,1,,276,,276
5,276,1,,277,,277
6,277,1,,279,,279
7,279,5,,279,,279
12,280,2,,279,,279
14,282,2,,279,,279
16,283,2,,279,,279
18,284,2,,280,,280
20,285,1,,280,,280
21,286,2,,282,,282
23,287,1,,282,,282
24,289,1,,283,,283
25,290,3,,283,,283
28,291,1,,284,,284
29,292,1,,284,,284
30,299,1,,285,,285
31,302,1,,286,,286
32,303,1,,286,,286
33,314,1,,287,,287
,,,,289,,289
,,,,290,,290
,,,,290,,290
,,,,290,,290
,,,,291,,291
,,,,292,,292
,,,,299,,299
,,,,302,,302
,,,,303,,303
,,,,314,,314
