OID_,Value,Count,,90,,90
1,90,1,,94,,94
2,94,1,,98,,98
3,98,1,,101,,101
4,101,1,,102,,102
5,102,2,,102,,102
7,104,1,,104,,104
8,106,1,,106,,106
9,115,3,,115,,115
12,117,1,,115,,115
13,134,1,,115,,115
14,136,1,,117,,117
15,151,2,,134,,134
17,152,1,,136,,136
18,153,1,,151,,151
19,154,1,,151,,151
20,155,3,,152,,152
23,156,1,,153,,153
24,157,1,,154,,154
25,158,1,,155,,155
26,159,4,,155,,155
30,160,1,,155,,155
31,161,1,,156,,156
32,162,2,,157,,157
34,163,1,,158,,158
35,164,4,,159,,159
39,165,2,,159,,159
41,166,3,,159,,159
44,167,1,,159,,159
45,168,1,,160,,160
46,169,7,,161,,161
53,170,1,,162,,162
54,171,3,,162,,162
57,172,5,,163,,163
62,173,1,,164,,164
63,174,3,,164,,164
66,175,2,,164,,164
68,176,1,,164,,164
69,177,1,,165,,165
70,180,1,,165,,165
71,185,1,,166,,166
72,192,1,,166,,166
73,201,1,,166,,166
74,216,1,,167,,167
75,218,2,,168,,168
77,220,1,,169,,169
78,221,1,,169,,169
79,224,2,,169,,169
81,225,1,,169,,169
82,226,1,,169,,169
83,227,1,,169,,169
84,229,3,,169,,169
87,230,2,,170,,170
89,231,2,,171,,171
91,232,1,,171,,171
92,233,1,,171,,171
93,234,2,,172,,172
95,235,6,,172,,172
101,236,8,,172,,172
109,237,6,,172,,172
115,238,6,,172,,172
121,239,6,,173,,173
127,240,11,,174,,174
138,241,17,,174,,174
155,242,11,,174,,174
166,243,12,,175,,175
178,244,7,,175,,175
185,245,17,,176,,176
202,246,15,,177,,177
217,247,18,,180,,180
235,248,16,,185,,185
251,249,17,,192,,192
268,250,18,,201,,201
286,251,20,,216,,216
306,252,16,,218,,218
322,253,11,,218,,218
333,254,7,,220,,220
340,255,6,,221,,221
346,256,9,,224,,224
355,257,8,,224,,224
363,258,4,,225,,225
367,259,3,,226,,226
370,260,9,,227,,227
379,261,5,,229,,229
384,262,13,,229,,229
397,263,9,,229,,229
406,264,4,,230,,230
410,265,2,,230,,230
412,266,4,,231,,231
416,267,5,,231,,231
421,268,3,,232,,232
424,269,4,,233,,233
428,270,3,,234,,234
431,271,7,,234,,234
438,272,6,,235,,235
444,273,2,,235,,235
446,274,5,,235,,235
451,275,1,,235,,235
452,276,4,,235,,235
456,277,3,,235,,235
459,279,4,,236,,236
463,282,2,,236,,236
465,284,1,,236,,236
466,285,1,,236,,236
467,294,1,,236,,236
468,314,1,,236,,236
,,,,236,,236
,,,,236,,236
