OID_,Value,Count,,201,,201
1,201,1,,202,,202
2,202,1,,206,,206
3,206,3,,207,,207
4,207,2,,207,,207
6,209,1,,209,,209
7,213,1,,213,,213
8,214,3,,214,,214
9,215,2,,215,,215
11,216,3,,215,,215
12,217,4,,216,,216
16,218,6,,217,,217
17,219,5,,217,,217
22,220,4,,217,,217
23,221,5,,217,,217
28,222,2,,218,,218
29,223,9,,219,,219
38,224,4,,219,,219
39,225,7,,219,,219
46,226,5,,219,,219
47,227,10,,219,,219
57,228,5,,220,,220
58,229,6,,221,,221
64,230,7,,221,,221
65,231,7,,221,,221
72,232,7,,221,,221
73,233,13,,221,,221
86,234,8,,222,,222
87,235,6,,223,,223
93,236,3,,223,,223
94,237,10,,223,,223
104,238,3,,223,,223
105,239,6,,223,,223
111,240,3,,223,,223
112,241,4,,223,,223
116,242,3,,223,,223
117,243,13,,223,,223
130,244,6,,224,,224
131,245,9,,225,,225
140,246,8,,225,,225
141,247,7,,225,,225
148,248,8,,225,,225
149,249,12,,225,,225
161,250,9,,225,,225
162,251,2,,225,,225
164,252,7,,226,,226
165,253,9,,227,,227
174,254,7,,227,,227
175,255,3,,227,,227
178,256,2,,227,,227
179,257,3,,227,,227
182,258,9,,227,,227
183,259,6,,227,,227
189,260,4,,227,,227
190,261,4,,227,,227
194,262,7,,227,,227
195,263,3,,228,,228
198,264,4,,229,,229
199,265,4,,229,,229
203,266,3,,229,,229
204,267,4,,229,,229
208,268,3,,229,,229
209,269,4,,229,,229
213,270,1,,230,,230
214,271,3,,231,,231
217,272,1,,231,,231
218,273,5,,231,,231
223,274,2,,231,,231
224,275,2,,231,,231
226,276,1,,231,,231
227,277,1,,231,,231
228,278,4,,232,,232
229,279,1,,233,,233
230,280,1,,233,,233
231,282,1,,233,,233
232,285,1,,233,,233
233,286,1,,233,,233
234,293,2,,233,,233
235,294,1,,233,,233
236,298,1,,233,,233
237,310,1,,233,,233
238,325,1,,233,,233
239,326,1,,233,,233
,,,,233,,233
,,,,233,,233
,,,,234,,234
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,236,,236
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,238,,238
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,239,,239
,,,,240,,240
,,,,241,,241
,,,,241,,241
,,,,241,,241
,,,,241,,241
,,,,242,,242
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,244,,244
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,246,,246
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,248,,248
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,250,,250
,,,,251,,251
,,,,251,,251
,,,,252,,252
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,253,,253
,,,,254,,254
,,,,255,,255
,,,,255,,255
,,,,255,,255
,,,,256,,256
,,,,257,,257
,,,,257,,257
,,,,257,,257
,,,,258,,258
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,260,,260
,,,,261,,261
,,,,261,,261
,,,,261,,261
,,,,261,,261
,,,,262,,262
,,,,263,,263
,,,,263,,263
,,,,263,,263
,,,,264,,264
,,,,265,,265
,,,,265,,265
,,,,265,,265
,,,,265,,265
,,,,266,,266
,,,,267,,267
,,,,267,,267
,,,,267,,267
,,,,267,,267
,,,,268,,268
,,,,269,,269
,,,,269,,269
,,,,269,,269
,,,,269,,269
,,,,270,,270
,,,,271,,271
,,,,271,,271
,,,,271,,271
,,,,272,,272
,,,,273,,273
,,,,273,,273
,,,,273,,273
,,,,273,,273
,,,,273,,273
,,,,274,,274
,,,,275,,275
,,,,275,,275
,,,,276,,276
,,,,277,,277
,,,,278,,278
,,,,279,,279
,,,,280,,280
,,,,282,,282
,,,,285,,285
,,,,286,,286
,,,,293,,293
,,,,294,,294
,,,,298,,298
,,,,310,,310
,,,,325,,325
,,,,326,,326
