OID_,Value,Count,,82,,82
1,82,2,,82,,82
3,93,1,,97,,97
2,95,1,,107,,107
3,96,1,,114,,114
3,97,1,,121,,121
4,103,2,,128,,128
4,107,1,,128,,128
5,108,1,,133,,133
5,114,1,,133,,133
6,115,1,,135,,135
6,121,1,,138,,138
7,126,1,,140,,140
7,128,2,,144,,144
9,129,1,,145,,145
8,130,1,,145,,145
9,131,1,,153,,153
9,133,2,,156,,156
11,135,1,,158,,158
10,137,2,,168,,168
12,138,4,,182,,182
11,140,3,,205,,205
14,141,2,,211,,211
12,142,2,,222,,222
14,144,2,,225,,225
13,145,4,,227,,227
17,146,4,,229,,229
14,147,4,,231,,231
18,148,4,,233,,233
15,149,6,,235,,235
21,150,3,,237,,237
16,151,5,,239,,239
21,152,1,,239,,239
17,153,4,,239,,239
21,154,3,,242,,242
18,156,2,,243,,243
20,157,1,,243,,243
19,158,1,,243,,243
20,163,1,,246,,246
20,168,1,,247,,247
21,172,1,,247,,247
21,182,1,,247,,247
22,184,1,,250,,250
22,205,1,,257,,257
23,206,2,,257,,257
23,211,3,,257,,257
26,216,1,,257,,257
24,222,2,,257,,257
26,223,1,,257,,257
25,225,1,,275,,275
26,226,1,,277,,277
26,227,1,,279,,279
27,228,3,,281,,281
27,229,3,,283,,283
30,230,9,,285,,285
28,231,5,,287,,287
33,232,5,,289,,289
29,233,4,,289,,289
33,234,6,,290,,290
30,235,4,,291,,291
34,236,2,,291,,291
31,237,5,,292,,292
36,238,3,,296,,296
32,239,3,,300,,300
35,240,5,,301,,301
33,241,2,,301,,301
35,242,3,,302,,302
34,243,5,,304,,304
39,244,5,,307,,307
35,245,4,,322,,322
39,246,3,,322,,322
36,247,8,,322,,322
44,248,7,,322,,322
37,249,6,,322,,322
43,250,1,,322,,322
38,251,8,,322,,322
46,252,2,,322,,322
39,253,4,,322,,322
43,254,7,,322,,322
40,255,2,,322,,322
42,256,5,,322,,322
41,257,10,,322,,322
51,258,4,,322,,322
42,259,8,,322,,322
50,260,8,,322,,322
43,261,6,,322,,322
49,262,8,,322,,322
44,263,7,,322,,322
51,264,2,,322,,322
45,265,2,,322,,322
47,266,10,,322,,322
46,267,9,,322,,322
55,268,9,,322,,322
47,269,5,,322,,322
52,270,5,,322,,322
48,271,8,,322,,322
56,272,6,,322,,322
49,273,11,,322,,322
60,274,2,,322,,322
50,275,4,,322,,322
54,276,4,,322,,322
51,277,4,,322,,322
55,278,7,,322,,322
52,279,8,,322,,322
60,280,5,,322,,322
53,281,5,,322,,322
58,282,11,,322,,322
54,283,7,,322,,322
61,284,7,,322,,322
55,285,2,,322,,322
57,286,12,,322,,322
56,287,8,,322,,322
64,288,8,,322,,322
57,289,2,,322,,322
59,290,7,,322,,322
58,291,4,,322,,322
62,292,3,,322,,322
59,293,3,,322,,322
62,294,8,,322,,322
60,295,3,,322,,322
63,296,2,,322,,322
61,297,3,,322,,322
64,298,1,,322,,322
62,299,2,,322,,322
64,300,4,,322,,322
63,301,4,,322,,322
67,302,1,,322,,322
64,303,4,,322,,322
68,304,3,,322,,322
65,306,4,,322,,322
69,307,4,,322,,322
66,310,2,,322,,322
68,322,1,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
,,,,322,,322
