OID_,Value,Count,,68,,68
1,68,1,,70,,70
2,70,1,,78,,78
3,78,1,,81,,81
4,81,1,,82,,82
5,82,1,,83,,83
6,83,2,,83,,83
8,86,1,,86,,86
9,88,1,,88,,88
10,89,2,,89,,89
12,90,1,,89,,89
13,91,3,,90,,90
16,92,3,,91,,91
19,93,2,,91,,91
21,94,1,,91,,91
22,96,2,,92,,92
24,97,5,,92,,92
29,98,5,,92,,92
34,99,4,,93,,93
38,100,2,,93,,93
40,101,3,,94,,94
43,102,7,,96,,96
50,103,6,,96,,96
56,104,6,,97,,97
62,105,10,,97,,97
72,106,5,,97,,97
77,107,12,,97,,97
89,108,9,,97,,97
98,109,11,,98,,98
109,110,12,,98,,98
121,111,15,,98,,98
136,112,10,,98,,98
146,113,9,,98,,98
155,114,13,,99,,99
168,115,9,,99,,99
177,116,12,,99,,99
189,117,20,,99,,99
209,118,9,,100,,100
218,119,20,,100,,100
238,120,18,,101,,101
256,121,14,,101,,101
270,122,24,,101,,101
294,123,18,,102,,102
312,124,16,,102,,102
328,125,19,,102,,102
347,126,7,,102,,102
354,127,12,,102,,102
366,128,12,,102,,102
378,129,10,,102,,102
388,130,11,,103,,103
399,131,8,,103,,103
407,132,10,,103,,103
417,133,9,,103,,103
426,134,12,,103,,103
438,135,10,,103,,103
448,136,16,,104,,104
464,137,11,,104,,104
475,138,14,,104,,104
489,139,8,,104,,104
497,140,4,,104,,104
501,141,7,,104,,104
508,142,9,,105,,105
517,143,16,,105,,105
533,144,15,,105,,105
548,145,23,,105,,105
571,146,10,,105,,105
581,147,14,,105,,105
595,148,21,,105,,105
616,149,16,,105,,105
632,150,23,,105,,105
655,151,23,,105,,105
678,152,19,,106,,106
697,153,11,,106,,106
708,154,13,,106,,106
721,155,11,,106,,106
732,156,20,,106,,106
752,157,19,,107,,107
771,158,9,,107,,107
780,159,15,,107,,107
795,160,11,,107,,107
806,161,18,,107,,107
824,162,14,,107,,107
838,163,14,,107,,107
852,164,10,,107,,107
862,165,15,,107,,107
877,166,15,,107,,107
892,167,15,,107,,107
907,168,20,,107,,107
927,169,14,,108,,108
941,170,11,,108,,108
952,171,18,,108,,108
970,172,11,,108,,108
981,173,14,,108,,108
995,174,22,,108,,108
1017,175,12,,108,,108
1029,176,19,,108,,108
1048,177,12,,108,,108
1060,178,10,,109,,109
1070,179,14,,109,,109
1084,180,19,,109,,109
1103,181,10,,109,,109
1113,182,17,,109,,109
1130,183,12,,109,,109
1142,184,19,,109,,109
1161,185,19,,109,,109
1180,186,16,,109,,109
1196,187,25,,109,,109
1221,188,15,,109,,109
1236,189,23,,110,,110
1259,190,21,,110,,110
1280,191,19,,110,,110
1299,192,23,,110,,110
1322,193,28,,110,,110
1350,194,14,,110,,110
1364,195,17,,110,,110
1381,196,17,,110,,110
1398,197,12,,110,,110
1410,198,22,,110,,110
1432,199,15,,110,,110
1447,200,16,,110,,110
1463,201,16,,111,,111
1479,202,16,,111,,111
1495,203,17,,111,,111
1512,204,13,,111,,111
1525,205,17,,111,,111
1542,206,17,,111,,111
1559,207,15,,111,,111
1574,208,20,,111,,111
1594,209,13,,111,,111
1607,210,21,,111,,111
1628,211,13,,111,,111
1641,212,21,,111,,111
1662,213,17,,111,,111
1679,214,26,,111,,111
1705,215,21,,111,,111
1726,216,25,,112,,112
1751,217,22,,112,,112
1773,218,26,,112,,112
1799,219,29,,112,,112
1828,220,26,,112,,112
1854,221,33,,112,,112
1887,222,42,,112,,112
1929,223,31,,112,,112
1960,224,42,,112,,112
2002,225,42,,112,,112
2044,226,63,,113,,113
2107,227,44,,113,,113
2151,228,49,,113,,113
2200,229,60,,113,,113
2260,230,73,,113,,113
2333,231,66,,113,,113
2399,232,83,,113,,113
2482,233,78,,113,,113
2560,234,106,,113,,113
2666,235,104,,114,,114
2770,236,108,,114,,114
2878,237,121,,114,,114
2999,238,126,,114,,114
3125,239,149,,114,,114
3274,240,135,,114,,114
3409,241,146,,114,,114
3555,242,171,,114,,114
3726,243,182,,114,,114
3908,244,170,,114,,114
4078,245,181,,114,,114
4259,246,175,,114,,114
4434,247,188,,114,,114
4622,248,193,,115,,115
4815,249,224,,115,,115
5039,250,234,,115,,115
5273,251,227,,115,,115
5500,252,229,,115,,115
5729,253,232,,115,,115
5961,254,236,,115,,115
6197,255,218,,115,,115
6415,256,239,,115,,115
6654,257,225,,116,,116
6879,258,200,,116,,116
7079,259,185,,116,,116
7264,260,198,,116,,116
7462,261,206,,116,,116
7668,262,184,,116,,116
7852,263,162,,116,,116
8014,264,170,,116,,116
8184,265,174,,116,,116
8358,266,170,,116,,116
8528,267,142,,116,,116
8670,268,138,,116,,116
8808,269,120,,117,,117
8928,270,112,,117,,117
9040,271,113,,117,,117
9153,272,97,,117,,117
9250,273,97,,117,,117
9347,274,92,,117,,117
9439,275,78,,117,,117
9517,276,92,,117,,117
9609,277,68,,117,,117
9677,278,62,,117,,117
9739,279,66,,117,,117
9805,280,53,,117,,117
9858,281,58,,117,,117
9916,282,47,,117,,117
9963,283,52,,117,,117
10015,284,60,,117,,117
10075,285,44,,117,,117
10119,286,36,,117,,117
10155,287,36,,117,,117
10191,288,48,,117,,117
10239,289,27,,118,,118
10266,290,27,,118,,118
10293,291,29,,118,,118
10322,292,28,,118,,118
10350,293,29,,118,,118
10379,294,33,,118,,118
10412,295,21,,118,,118
10433,296,26,,118,,118
10459,297,32,,118,,118
10491,298,26,,119,,119
10517,299,24,,119,,119
10541,300,24,,119,,119
10565,301,19,,119,,119
