OID_,Value,Count,,93,,93
1,93,1,,94,,94
2,94,1,,97,,97
3,97,2,,97,,97
5,101,1,,101,,101
6,102,2,,102,,102
8,103,2,,102,,102
10,104,2,,103,,103
12,107,1,,103,,103
13,108,3,,104,,104
16,109,1,,104,,104
17,110,2,,107,,107
19,111,2,,108,,108
21,113,2,,108,,108
23,114,3,,108,,108
26,115,4,,109,,109
30,116,3,,110,,110
33,117,3,,110,,110
36,118,4,,111,,111
40,119,2,,111,,111
42,120,2,,113,,113
44,121,1,,113,,113
45,122,2,,114,,114
47,123,1,,114,,114
48,124,1,,114,,114
49,125,3,,115,,115
52,126,3,,115,,115
55,127,9,,115,,115
64,128,1,,115,,115
65,129,8,,116,,116
73,130,6,,116,,116
79,131,4,,116,,116
83,132,4,,117,,117
87,133,3,,117,,117
90,134,6,,117,,117
96,135,6,,118,,118
102,136,2,,118,,118
104,137,8,,118,,118
112,138,9,,118,,118
121,139,8,,119,,119
129,140,6,,119,,119
135,141,13,,120,,120
148,142,7,,120,,120
155,143,6,,121,,121
161,144,4,,122,,122
165,145,9,,122,,122
174,146,8,,123,,123
182,147,12,,124,,124
194,148,13,,125,,125
207,149,10,,125,,125
217,150,14,,125,,125
231,151,10,,126,,126
241,152,17,,126,,126
258,153,10,,126,,126
268,154,12,,127,,127
280,155,7,,127,,127
287,156,19,,127,,127
306,157,15,,127,,127
321,158,12,,127,,127
333,159,26,,127,,127
359,160,16,,127,,127
375,161,25,,127,,127
400,162,22,,127,,127
422,163,21,,128,,128
443,164,24,,129,,129
467,165,26,,129,,129
493,166,17,,129,,129
510,167,30,,129,,129
540,168,26,,129,,129
566,169,22,,129,,129
588,170,21,,129,,129
609,171,24,,129,,129
633,172,29,,130,,130
662,173,30,,130,,130
692,174,22,,130,,130
714,175,32,,130,,130
746,176,29,,130,,130
775,177,21,,130,,130
796,178,24,,131,,131
820,179,24,,131,,131
844,180,33,,131,,131
877,181,23,,131,,131
900,182,26,,132,,132
926,183,18,,132,,132
944,184,23,,132,,132
967,185,26,,132,,132
993,186,31,,133,,133
1024,187,31,,133,,133
1055,188,42,,133,,133
1097,189,37,,134,,134
1134,190,36,,134,,134
1170,191,32,,134,,134
1202,192,23,,134,,134
1225,193,39,,134,,134
1264,194,47,,134,,134
1311,195,35,,135,,135
1346,196,31,,135,,135
1377,197,38,,135,,135
1415,198,32,,135,,135
1447,199,40,,135,,135
1487,200,37,,135,,135
1524,201,36,,136,,136
1560,202,42,,136,,136
1602,203,50,,137,,137
1652,204,26,,137,,137
1678,205,42,,137,,137
1720,206,35,,137,,137
1755,207,42,,137,,137
1797,208,44,,137,,137
1841,209,38,,137,,137
1879,210,30,,137,,137
1909,211,36,,138,,138
1945,212,25,,138,,138
1970,213,35,,138,,138
2005,214,35,,138,,138
2040,215,43,,138,,138
2083,216,29,,138,,138
2112,217,31,,138,,138
2143,218,31,,138,,138
2174,219,16,,138,,138
2190,220,34,,139,,139
2224,221,18,,139,,139
2242,222,20,,139,,139
2262,223,12,,139,,139
2274,224,15,,139,,139
2289,225,15,,139,,139
2304,226,23,,139,,139
2327,227,13,,139,,139
2340,228,5,,140,,140
2345,229,12,,140,,140
2357,230,18,,140,,140
2375,231,14,,140,,140
2389,232,10,,140,,140
2399,233,23,,140,,140
2422,234,19,,141,,141
2441,235,19,,141,,141
2460,236,24,,141,,141
2484,237,13,,141,,141
2497,238,23,,141,,141
2520,239,17,,141,,141
2537,240,16,,141,,141
2553,241,12,,141,,141
2565,242,24,,141,,141
2589,243,32,,141,,141
2621,244,11,,141,,141
2632,245,19,,141,,141
2651,246,26,,141,,141
2677,247,21,,142,,142
2698,248,21,,142,,142
2719,249,28,,142,,142
2747,250,25,,142,,142
2772,251,29,,142,,142
2801,252,40,,142,,142
2841,253,27,,142,,142
2868,254,35,,143,,143
2903,255,38,,143,,143
2941,256,33,,143,,143
2974,257,27,,143,,143
3001,258,30,,143,,143
3031,259,48,,143,,143
3079,260,25,,144,,144
3104,261,40,,144,,144
3144,262,36,,144,,144
3180,263,28,,144,,144
3208,264,20,,145,,145
3228,265,38,,145,,145
3266,266,44,,145,,145
3310,267,35,,145,,145
3345,268,27,,145,,145
3372,269,28,,145,,145
3400,270,28,,145,,145
3428,271,20,,145,,145
3448,272,37,,145,,145
3485,273,34,,146,,146
3519,274,28,,146,,146
