OID_,Value,Count,,106
1,106,1,,107
2,107,1,,108
3,108,1,,109
4,109,4,,109
8,110,1,,109
9,111,3,,109
12,112,1,,110
13,113,2,,111
15,114,1,,111
16,115,5,,111
21,116,5,,112
26,117,7,,113
33,118,2,,113
35,119,6,,114
41,120,10,,115
51,121,5,,115
56,122,3,,115
59,123,4,,115
63,124,1,,115
64,125,3,,116
67,126,6,,116
73,127,2,,116
75,128,2,,116
77,129,3,,116
80,130,2,,117
82,131,3,,117
85,132,4,,117
89,133,1,,117
90,134,1,,117
91,135,2,,117
93,136,1,,117
94,137,2,,118
96,138,1,,118
97,140,1,,119
98,141,2,,119
100,143,2,,119
102,146,1,,119
103,148,1,,119
104,149,1,,119
105,151,4,,120
109,153,3,,120
112,154,1,,120
113,155,3,,120
116,157,1,,120
117,159,3,,120
120,161,2,,120
122,162,1,,120
123,163,1,,120
124,164,2,,120
126,165,2,,121
128,166,2,,121
130,170,1,,121
131,171,2,,121
133,172,1,,121
134,174,2,,122
136,175,1,,122
137,178,1,,122
138,179,1,,123
139,199,1,,123
140,201,1,,123
141,209,1,,123
142,210,1,,124
143,211,1,,125
144,212,1,,125
145,214,1,,125
146,216,1,,126
147,217,1,,126
148,220,1,,126
149,221,3,,126
152,222,2,,126
154,224,1,,126
155,225,3,,127
158,226,4,,127
162,228,5,,128
167,229,5,,128
172,231,5,,129
177,232,2,,129
179,233,3,,129
182,234,5,,130
187,235,3,,130
190,236,6,,131
196,237,2,,131
198,238,4,,131
202,239,7,,132
209,240,4,,132
213,241,3,,132
216,242,2,,132
218,243,2,,133
220,244,1,,134
221,245,3,,135
224,246,2,,135
226,247,1,,136
227,248,1,,137
228,249,2,,137
230,251,2,,138
232,252,2,,140
234,254,3,,141
237,255,3,,141
240,257,3,,143
243,260,1,,143
244,261,1,,146
245,262,1,,148
246,263,2,,149
248,265,1,,151
249,266,3,,151
252,268,1,,151
253,269,4,,151
257,270,3,,153
260,271,2,,153
262,272,3,,153
265,273,4,,154
269,274,3,,155
272,275,1,,155
273,276,4,,155
277,277,5,,157
282,279,2,,159
284,280,2,,159
286,281,1,,159
287,282,3,,161
290,283,1,,161
291,284,2,,162
293,285,2,,163
295,286,2,,164
297,287,1,,164
298,289,1,,165
299,293,2,,165
301,294,1,,166
302,295,1,,166
303,298,1,,170
304,300,1,,171
305,302,5,,171
310,303,2,,172
312,304,3,,174
315,305,1,,174
316,306,6,,175
322,307,2,,178
324,308,5,,179
329,309,4,,199
333,310,4,,201
337,311,4,,209
341,312,4,,210
345,313,3,,211
348,314,6,,212
354,315,8,,214
362,316,9,,216
371,317,8,,217
379,318,8,,220
387,319,9,,221
396,320,10,,221
406,321,8,,221
414,322,8,,222
422,323,15,,222
437,324,10,,224
447,325,7,,225
454,326,3,,225
457,327,4,,225
461,328,3,,226
464,329,7,,226
471,330,4,,226
475,331,2,,226
477,332,3,,228
480,333,2,,228
482,335,5,,228
487,336,3,,228
490,339,4,,228
494,340,1,,229
495,341,6,,229
501,342,8,,229
509,343,3,,229
512,344,12,,229
524,345,8,,231
532,346,8,,231
540,347,10,,231
550,348,11,,231
561,349,15,,231
576,350,15,,232
591,351,10,,232
601,352,9,,233
610,353,4,,233
614,354,10,,233
624,355,8,,234
632,356,9,,234
641,357,6,,234
647,358,2,,234
649,360,5,,234
654,361,1,,235
655,362,2,,235
657,363,3,,235
660,364,2,,236
662,369,1,,236
,,,,236
,,,,236
,,,,236
,,,,236
,,,,237
,,,,237
,,,,238
,,,,238
,,,,238
,,,,238
,,,,239
,,,,239
,,,,239
,,,,239
,,,,239
,,,,239
,,,,239
,,,,240
,,,,240
,,,,240
,,,,240
,,,,241
,,,,241
,,,,241
,,,,242
,,,,242
,,,,243
,,,,243
,,,,244
,,,,245
,,,,245
,,,,245
,,,,246
,,,,246
,,,,247
,,,,248
,,,,249
,,,,249
,,,,251
,,,,251
,,,,252
,,,,252
,,,,254
,,,,254
,,,,254
,,,,255
,,,,255
,,,,255
,,,,257
,,,,257
,,,,257
,,,,260
,,,,261
,,,,262
,,,,263
,,,,263
,,,,265
,,,,266
,,,,266
,,,,266
,,,,268
,,,,269
,,,,269
,,,,269
,,,,269
,,,,270
,,,,270
,,,,270
,,,,271
,,,,271
,,,,272
,,,,272
,,,,272
,,,,273
,,,,273
,,,,273
,,,,273
,,,,274
,,,,274
,,,,274
,,,,275
,,,,276
,,,,276
,,,,276
,,,,276
,,,,277
,,,,277
,,,,277
,,,,277
,,,,277
,,,,279
,,,,279
,,,,280
,,,,280
,,,,281
,,,,282
,,,,282
,,,,282
,,,,283
,,,,284
,,,,284
,,,,285
,,,,285
,,,,286
,,,,286
,,,,287
,,,,289
,,,,293
,,,,293
,,,,294
,,,,295
,,,,298
,,,,300
,,,,302
,,,,302
,,,,302
,,,,302
,,,,302
,,,,303
,,,,303
,,,,304
,,,,304
,,,,304
,,,,305
,,,,306
,,,,306
,,,,306
,,,,306
,,,,306
,,,,306
,,,,307
,,,,307
,,,,308
,,,,308
,,,,308
,,,,308
,,,,308
,,,,309
,,,,309
,,,,309
,,,,309
,,,,310
,,,,310
,,,,310
,,,,310
,,,,311
,,,,311
,,,,311
,,,,311
,,,,312
,,,,312
,,,,312
,,,,312
,,,,313
,,,,313
,,,,313
,,,,314
,,,,314
,,,,314
,,,,314
,,,,314
,,,,314
,,,,315
,,,,315
,,,,315
,,,,315
,,,,315
,,,,315
,,,,315
,,,,315
,,,,316
,,,,316
,,,,316
,,,,316
,,,,316
,,,,316
,,,,316
,,,,316
,,,,316
,,,,317
,,,,317
,,,,317
,,,,317
,,,,317
,,,,317
,,,,317
,,,,317
,,,,318
,,,,318
,,,,318
,,,,318
,,,,318
,,,,318
,,,,318
,,,,318
,,,,319
,,,,319
,,,,319
,,,,319
,,,,319
,,,,319
,,,,319
,,,,319
,,,,319
,,,,320
,,,,320
,,,,320
,,,,320
,,,,320
,,,,320
,,,,320
,,,,320
,,,,320
,,,,320
,,,,321
,,,,321
,,,,321
,,,,321
,,,,321
,,,,321
,,,,321
,,,,321
,,,,322
,,,,322
,,,,322
,,,,322
,,,,322
,,,,322
,,,,322
,,,,322
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,323
,,,,324
,,,,324
,,,,324
,,,,324
,,,,324
,,,,324
,,,,324
,,,,324
,,,,324
,,,,324
,,,,325
,,,,325
,,,,325
,,,,325
,,,,325
,,,,325
,,,,325
,,,,326
,,,,326
,,,,326
,,,,327
,,,,327
,,,,327
,,,,327
,,,,328
,,,,328
,,,,328
,,,,329
,,,,329
,,,,329
,,,,329
,,,,329
,,,,329
,,,,329
,,,,330
,,,,330
,,,,330
,,,,330
,,,,331
,,,,331
,,,,332
,,,,332
,,,,332
,,,,333
,,,,333
,,,,335
,,,,335
,,,,335
,,,,335
,,,,335
,,,,336
,,,,336
,,,,336
,,,,339
,,,,339
,,,,339
,,,,339
,,,,340
,,,,341
,,,,341
,,,,341
,,,,341
,,,,341
,,,,341
,,,,342
,,,,342
,,,,342
,,,,342
,,,,342
,,,,342
,,,,342
,,,,342
,,,,343
,,,,343
,,,,343
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,344
,,,,345
,,,,345
,,,,345
,,,,345
,,,,345
,,,,345
,,,,345
,,,,345
,,,,346
,,,,346
,,,,346
,,,,346
,,,,346
,,,,346
,,,,346
,,,,346
,,,,347
,,,,347
,,,,347
,,,,347
,,,,347
,,,,347
,,,,347
,,,,347
,,,,347
,,,,347
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,348
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,349
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,350
,,,,351
,,,,351
,,,,351
,,,,351
,,,,351
,,,,351
,,,,351
,,,,351
,,,,351
,,,,351
,,,,352
,,,,352
,,,,352
,,,,352
,,,,352
,,,,352
,,,,352
,,,,352
,,,,352
,,,,353
,,,,353
,,,,353
,,,,353
,,,,354
,,,,354
,,,,354
,,,,354
,,,,354
,,,,354
,,,,354
,,,,354
,,,,354
,,,,354
,,,,355
,,,,355
,,,,355
,,,,355
,,,,355
,,,,355
,,,,355
,,,,355
,,,,356
,,,,356
,,,,356
,,,,356
,,,,356
,,,,356
,,,,356
,,,,356
,,,,356
,,,,357
,,,,357
,,,,357
,,,,357
,,,,357
,,,,357
,,,,358
,,,,358
,,,,360
,,,,360
,,,,360
,,,,360
,,,,360
,,,,361
,,,,362
,,,,362
,,,,363
,,,,363
,,,,363
,,,,364
,,,,364
,,,,369
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
