LCZs,LCZ 1,LCZ 2,LCZ 3,LCZ 4,LCZ 5,LCZ 6,LCZ 7,LCZ 8,LCZ 9,LCZ 10,LCZ A,LCZ B,LCZ C,LCZ D,LCZ E,LCZ F,LCZ G
LCZ 1,4,4,4,4,1,1,4,1,1,3,1,1,1,1,1,1,1
LCZ 2,4,4,4,4,1,1,4,1,1,2,1,1,1,1,1,1,1
LCZ 3,4,4,4,3,1,1,4,1,1,1,1,1,1,1,1,1,1
LCZ 4,4,4,3,4,1,1,4,1,1,3,1,1,1,1,1,1,1
LCZ 5,1,1,1,1,4,4,4,4,4,4,1,3,1,3,4,4,4
LCZ 6,1,1,1,1,4,4,4,4,4,4,1,3,1,2,4,4,4
LCZ 7,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
LCZ 8,1,1,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4
LCZ 9,1,1,1,1,4,4,4,4,4,4,1,1,1,1,4,4,4
LCZ 10,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4
LCZ A,1,1,1,1,1,1,3,3,1,4,4,4,4,1,2,4,1
LCZ B,1,1,1,1,3,3,4,4,1,4,4,4,4,4,4,4,2
LCZ C,1,1,1,1,1,1,4,4,1,4,4,4,4,1,3,4,1
LCZ D,1,1,1,1,3,2,4,4,1,4,1,4,1,4,4,4,2
LCZ E,1,1,1,1,4,4,4,4,4,4,2,4,3,4,4,4,4
LCZ F,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4
LCZ G,1,1,1,1,4,4,4,4,4,4,1,2,1,2,4,4,4
