OID_,Value,Count
,214,1.000000000000000
,228,1.000000000000000
,274,1.000000000000000
,286,1.000000000000000
,293,1.000000000000000
,302,1.000000000000000
,303,2.000000000000000
,306,1.000000000000000
,307,2.000000000000000
,309,2.000000000000000
,310,2.000000000000000
,311,1.000000000000000
,312,5.000000000000000
,313,5.000000000000000
,314,2.000000000000000
,315,6.000000000000000
,316,6.000000000000000
,317,1.000000000000000
,318,2.000000000000000
,319,3.000000000000000
,320,5.000000000000000
,321,3.000000000000000
,322,7.000000000000000
,323,3.000000000000000
,324,2.000000000000000
,325,5.000000000000000
,326,1.000000000000000
,328,3.000000000000000
,329,1.000000000000000
,331,1.000000000000000
,332,1.000000000000000
,334,4.000000000000000
,335,3.000000000000000
,337,1.000000000000000
,338,1.000000000000000
,339,1.000000000000000
,340,1.000000000000000
,342,3.000000000000000
,343,2.000000000000000
,345,4.000000000000000
,347,1.000000000000000
,352,1.000000000000000
